window,merchant_id,model,MAPE,sMAPE,MAE,RMSE,MASE
2022,M001,Naive,26.51648567773413,23.08088797684451,20696.387499999997,21655.10038867845,1.2502386766823361
2022,M001,Seasonal Naive,22.48592151867296,19.94836063996189,17898.066666666666,19217.78892640184,1.0811961838511945
2022,M001,SMA(3),20.900998010520592,18.59709801756223,16209.864166666652,17417.307874507154,0.9792143254436909
2022,M001,"WMA(1,2,3)",21.527361838612038,19.108473710433348,16710.30083333334,17883.989242730113,1.0094449768506901
2022,M001,SES,22.856598288022354,20.184181896791106,17772.301268418578,18880.085001636464,1.073598879003761
2022,M001,Holt,7.9307133451354535,7.631032288300318,6256.9200297905345,7843.716615954315,0.3779714415451741
2022,M001,Holt-Winters,9.971360305170517,9.556396441583896,7906.324128024066,9459.499677573005,0.47760954491417573
2022,M002,Naive,10.03386110741753,9.459109165196061,9773.276666666667,11135.499715988652,0.7983716609092761
2022,M002,Seasonal Naive,11.757795379284541,11.71137331880226,11913.112500000001,13909.327567477576,0.9731732496290796
2022,M002,SMA(3),9.15020591779548,8.721064408429903,8971.94333333333,10239.733150402404,0.7329113402721542
2022,M002,"WMA(1,2,3)",8.251904489108746,7.961685142483294,8160.758333333335,9505.90532138751,0.6666462443536559
2022,M002,SES,7.388263243279942,7.3403589057487215,7510.9471472327095,8842.194724740179,0.613563654591923
2022,M002,Holt,7.230590656777343,7.329532357590142,7498.005195105267,8867.36977127552,0.612506436202656
2022,M002,Holt-Winters,8.523154894181655,9.04445002887278,8927.117880811187,11531.37590946889,0.7292495825831314
2022,M003,Naive,23.77033471585081,20.702359956353344,37950.91416666665,41805.48663241055,2.253958871537188
2022,M003,Seasonal Naive,14.572800787650372,15.114981483812064,25733.698333333334,29475.487808237092,1.5283610139442654
2022,M003,SMA(3),11.99493358564219,11.500150807803818,19915.768055555567,22311.637058285873,1.1828258443303576
2022,M003,"WMA(1,2,3)",14.609038785113041,13.541661193676546,23684.80916666666,26373.147365813355,1.4066745667160454
2022,M003,SES,10.101418892023974,10.081872852175623,17425.999897152215,20532.94056561424,1.0349549655404844
2022,M003,Holt,10.072315648858863,10.053056448413171,17384.008694871325,20706.339693901104,1.032461048200526
2022,M003,Holt-Winters,13.5863197677844,13.051940873525847,22932.90755702469,25686.221876200132,1.362018058676928
2022,M004,Naive,21.63357541545231,18.992549980503938,20090.17833333333,22313.73097660384,1.056297187197746
2022,M004,Seasonal Naive,18.98901442090261,16.952998371632923,17842.620000000003,19681.85176067664,0.9381255360470047
2022,M004,SMA(3),19.71756042169336,17.476350075489126,18298.975555555557,20645.864663357457,0.9621197028332492
2022,M004,"WMA(1,2,3)",20.431600498957895,18.045016468122473,18966.50194444445,21257.320812582628,0.9972167654508421
2022,M004,SES,19.93723903406289,17.651766499823626,18504.343959235266,20832.613846954006,0.9729175197339703
2022,M004,Holt,13.154495968216276,12.164823692053627,12314.069988159265,14855.955941680742,0.6474465918437001
2022,M004,Holt-Winters,10.461120763408099,10.345817157695613,10396.791654534607,13916.93450913937,0.5466403333187223
2022,M005,Naive,5.807977733334189,5.676133159003589,2224.366666666667,2869.5492598170654,0.3256661647295603
2022,M005,Seasonal Naive,21.607847546514645,18.842488762823262,8349.991666666667,9717.136334299661,1.2225096708907954
2022,M005,SMA(3),12.259579554927972,11.350124525180384,4625.0900000000065,5204.454758773175,0.677152442715849
2022,M005,"WMA(1,2,3)",9.179412883952535,8.631551038178962,3452.2177777777815,4090.280466507703,0.505433991772982
2022,M005,SES,16.546189562406347,15.008106695762782,6268.600288700461,6868.300515521446,0.9177763022779637
2022,M005,Holt,9.873760633165029,9.288695054495005,3758.772659495438,4250.285563668907,0.5503162290876243
2022,M005,Holt-Winters,11.211185564099498,11.978685164554285,4507.081074324086,5124.110583905968,0.6598749341087252
2022,M006,Naive,10.567612402682048,10.901799243722966,20892.863333333335,25944.61472306183,0.7133413481715011
2022,M006,Seasonal Naive,12.577715412636378,13.985557130605015,26017.035,34425.145133044345,0.8882950376990834
2022,M006,SMA(3),10.787505917762418,11.556572216161674,22076.09499999999,29143.12028938686,0.753740218294419
2022,M006,"WMA(1,2,3)",10.73260376032799,11.487224986995624,21953.18333333333,29014.800585596826,0.749543666935845
2022,M006,SES,10.696765458237106,11.442003709836023,21872.950685904954,28931.857457907336,0.7468042978043475
2022,M006,Holt,10.474555079361918,10.448977600301516,20014.200936107834,22990.263195228697,0.6833413329019598
2022,M006,Holt-Winters,10.444831838660297,10.094784728098565,19388.777748461736,23196.963086221756,0.6619876193043891
2022,M007,Naive,12.19333986659888,13.441789793313493,18928.454999999998,25729.047919016226,1.6414556150407356
2022,M007,Seasonal Naive,12.241930991145805,13.353220162018417,18727.708333333332,25515.421029402987,1.6240470762455348
2022,M007,SMA(3),11.251467547762717,12.104424602333609,17204.983333333334,23254.929699249435,1.491997973378296
2022,M007,"WMA(1,2,3)",11.749077799334861,12.8656349398276,18194.055833333336,24871.211241137986,1.5777692953804023
2022,M007,SES,11.784067606738706,12.910800855873747,18251.8966603872,24936.706026016767,1.582785190779481
2022,M007,Holt,10.151751183170031,10.796315761093604,15463.421152863622,20866.951507403275,1.340971541475925
2022,M007,Holt-Winters,12.270803363165294,13.388499501505965,18742.825320580694,24835.4849349714,1.6253580054048182
2022,M008,Naive,9.219718231253763,9.161701874382961,5252.551666666666,6844.848752856657,0.6747767547207946
2022,M008,Seasonal Naive,8.593159006756125,8.853925795657872,5067.8933333333325,7173.492473678122,0.6510543510575304
2022,M008,SMA(3),9.224909979109478,9.32059735564887,5342.326111111111,6917.003787638514,0.6863097604146782
2022,M008,"WMA(1,2,3)",9.203119842483254,9.272073697290608,5314.997777777776,6895.262511355571,0.6827989859856285
2022,M008,SES,9.22068651207158,9.311184268870486,5337.0292046706445,6912.491259380275,0.6856292855588781
2022,M008,Holt,9.466416170945907,9.463475601471846,5424.065030289305,7005.0295554916365,0.6968104705680824
2022,M008,Holt-Winters,60.48135705843468,90.04858837010339,34177.92594613871,35160.45811838974,4.39071739158329
2022,M009,Naive,19.53772849063008,17.60721963788603,12696.801666666672,13910.839776780196,1.3515064488596502
2022,M009,Seasonal Naive,14.049443231175532,15.32885718737727,10251.996666666668,12212.059965961926,1.091270067253496
2022,M009,SMA(3),11.343851853596137,11.392803828117405,8031.565555555553,10714.041326564822,0.8549170828799824
2022,M009,"WMA(1,2,3)",12.90392731106588,12.450467489867323,8784.486666666675,10903.31582909912,0.9350614975021887
2022,M009,SES,11.311111982268706,11.29100539823742,7961.124112669529,10690.685640711828,0.847418969037866
2022,M009,Holt,17.249305537046798,15.97314596795331,11465.239522752076,12646.69707392459,1.2204132630818676
2022,M009,Holt-Winters,12.455286933946901,12.395774937319693,8598.940888998115,9626.188968234452,0.9153111444872178
2022,M010,Naive,15.194288856375474,16.746003016507782,31999.510833333337,36213.17751117644,0.9938293383630151
2022,M010,Seasonal Naive,12.987189935269889,14.323752205274678,26682.545,32236.264886631427,0.8286969191906566
2022,M010,SMA(3),6.762164971550616,6.956945573636314,14158.83416666666,18165.91989853229,0.4397399968124506
2022,M010,"WMA(1,2,3)",7.2321021849339235,7.54921803268981,15316.964166666665,19682.798301345305,0.4757087832615048
2022,M010,SES,8.155473745078538,8.64790931768239,17419.533769592927,22314.404088512794,0.5410096363971002
2022,M010,Holt,7.300292479700092,7.048450999040774,14426.203394778973,16973.54650158754,0.4480438544700712
2022,M010,Holt-Winters,9.227065919002557,9.228469018228552,19113.263154796823,23267.589207692847,0.593612876585064
2022,M011,Naive,7.646310077837285,7.269825800375241,11122.294166666668,13606.407721617474,0.645091258636599
2022,M011,Seasonal Naive,8.149764898693528,8.251108421861716,12305.671666666662,14219.082737628796,0.7137269617998082
2022,M011,SMA(3),5.918636324584694,5.815162621786346,8824.003055555551,10964.857008858773,0.5117907467670848
2022,M011,"WMA(1,2,3)",6.171748299797048,6.000234481821036,9111.038333333336,11392.09939580022,0.5284387463470375
2022,M011,SES,5.738646556347158,5.752663435089508,8727.6775,10859.032542354695,0.506203880160155
2022,M011,Holt,5.6161810466537805,5.781492849148751,8769.864004271221,11787.390880148561,0.5086506905690508
2022,M011,Holt-Winters,9.669060647493408,10.14800776571933,14838.092338711473,15920.062267257832,0.8606069502488396
2022,M012,Naive,7.626400296629006,7.6858730305519,11895.981666666668,14661.168546065259,0.7404259322922515
2022,M012,Seasonal Naive,13.393849124568385,14.760852162139262,21593.033333333333,25857.76253011527,1.3439867582891922
2022,M012,SMA(3),8.791551836639073,9.217307697491737,14171.982222222214,17629.80295646865,0.8820880397555614
2022,M012,"WMA(1,2,3)",8.603662059399221,8.995568955815125,13847.637500000006,17292.72073068054,0.8619002780336031
2022,M012,SES,9.345767150029076,9.85629114216463,15100.240782597737,18484.75025088716,0.9398644157817777
2022,M012,Holt,7.180069121972416,6.908831797719496,10724.365196247983,13100.184377876494,0.667502550119472
2022,M012,Holt-Winters,8.215106614521481,8.314107807634374,12544.817273086575,16726.6962230762,0.7808105531036656
2022,M013,Naive,7.651390154952396,7.845994929714377,4846.49,5710.163277467058,0.6816194772130264
2022,M013,Seasonal Naive,12.522670911916775,13.092578348881043,7919.551666666666,8954.50141086314,1.1138206551122327
2022,M013,SMA(3),9.23322330845075,9.745781474640145,5967.0383333333375,6969.455863894817,0.8392155042673684
2022,M013,"WMA(1,2,3)",8.808883787315073,9.230645927967853,5667.041666666667,6583.730790830784,0.7970234083177251
2022,M013,SES,8.524970110364674,8.888664266824458,5466.322307606628,6344.268885551118,0.7687938598013684
2022,M013,Holt,6.985016981819367,7.082083725381535,4380.1200030591845,4968.706947567788,0.6160283228925513
2022,M013,Holt-Winters,11.258528264207056,12.082866738071045,7196.6380828897045,9234.930975083484,1.0121487277907593
2022,M014,Naive,8.130995162692113,7.825013166719111,9377.640833333333,10860.71618923333,1.1609942534072037
2022,M014,Seasonal Naive,9.436111151891685,9.973842751690764,11494.475000000004,12900.068413996238,1.4230678758240747
2022,M014,SMA(3),7.150665517315441,7.155257180573829,8561.770277777778,10066.198823716511,1.0599857968711852
2022,M014,"WMA(1,2,3)",7.208775685908144,7.195890157352417,8610.131944444442,10048.765247223579,1.0659731894449775
2022,M014,SES,7.515065012464155,7.816548999844946,9325.61242534641,11527.24409823134,1.1545529017111533
2022,M014,Holt,6.401423377554647,6.411540805450841,7678.9950350395275,9045.460146917985,0.9506942381428741
2022,M014,Holt-Winters,5.504585892915398,5.593639202777167,6705.237999461634,7745.929033511614,0.8301387228898
2022,M015,Naive,12.901846855095103,12.107654850153905,14504.250000000005,16406.768277159787,0.8679627537654435
2022,M015,Seasonal Naive,11.713970769713706,11.702025531251216,13822.063333333334,19315.744574640397,0.8271393662905949
2022,M015,SMA(3),11.162100971874066,10.640209094910562,12662.727777777778,14859.09012109815,0.7577624539140025
2022,M015,"WMA(1,2,3)",11.209302956422361,10.68049039540832,12712.691111111117,14896.443801101494,0.7607523577275266
2022,M015,SES,8.544835703765315,8.517451520100579,10088.508504287649,12962.097668898448,0.6037161261538928
2022,M015,Holt,11.251816134680471,10.72029473033222,12764.922037398754,14830.867616069381,0.7638779587487677
2022,M015,Holt-Winters,10.637772643223169,10.353056013956953,12277.592955822509,14433.332935888913,0.7347152311596196
2022,M016,Naive,20.748050441029882,18.472465153621854,24948.275833333337,26814.899117924633,1.3881288144593116
2022,M016,Seasonal Naive,13.683407493593554,13.255437515661605,17082.575,19931.4175644889,0.9504790928669963
2022,M016,SMA(3),9.648034638484505,9.237295923807299,11810.854722222199,13831.30152797861,0.6571591509103067
2022,M016,"WMA(1,2,3)",11.76411025267894,11.05389257780583,14259.169166666652,15990.710392521898,0.7933840287292965
2022,M016,SES,9.654619155876453,9.24303208737845,11818.473055391516,13837.031838120703,0.6575830370281743
2022,M016,Holt,14.94867044820409,13.66729857750723,17915.12381338985,19938.94187668253,0.9968023340012093
2022,M016,Holt-Winters,7.263886644225617,7.195688286903962,9204.0510871591,12273.472381535097,0.5121158916629648
2022,M017,Naive,39.015028554644545,32.045958749001045,7512.776666666668,7788.19331367252,2.6728733946673175
2022,M017,Seasonal Naive,15.743416469426668,14.522169525926628,3070.3899999999994,3564.343941760764,1.092374245419148
2022,M017,SMA(3),14.761806109029052,13.273530347793603,2732.0255555555545,3301.0036883381717,0.9719919471845037
